date,interval,data_type,key
2024-06-17,daily,aggTrades,data/spot/daily/aggTrades/LQTYFDUSD/LQTYFDUSD-aggTrades-2024-06-17.zip
2024-06-18,daily,aggTrades,data/spot/daily/aggTrades/LQTYFDUSD/LQTYFDUSD-aggTrades-2024-06-18.zip
2024-06-19,daily,aggTrades,data/spot/daily/aggTrades/LQTYFDUSD/LQTYFDUSD-aggTrades-2024-06-19.zip
2024-06-20,daily,aggTrades,data/spot/daily/aggTrades/LQTYFDUSD/LQTYFDUSD-aggTrades-2024-06-20.zip
2024-06-21,daily,aggTrades,data/spot/daily/aggTrades/LQTYFDUSD/LQTYFDUSD-aggTrades-2024-06-21.zip
2024-06-22,daily,aggTrades,data/spot/daily/aggTrades/LQTYFDUSD/LQTYFDUSD-aggTrades-2024-06-22.zip
2024-06-23,daily,aggTrades,data/spot/daily/aggTrades/LQTYFDUSD/LQTYFDUSD-aggTrades-2024-06-23.zip
2024-06-24,daily,aggTrades,data/spot/daily/aggTrades/LQTYFDUSD/LQTYFDUSD-aggTrades-2024-06-24.zip
2024-06-25,daily,aggTrades,data/spot/daily/aggTrades/LQTYFDUSD/LQTYFDUSD-aggTrades-2024-06-25.zip
2024-06-26,daily,aggTrades,data/spot/daily/aggTrades/LQTYFDUSD/LQTYFDUSD-aggTrades-2024-06-26.zip
2024-06-27,daily,aggTrades,data/spot/daily/aggTrades/LQTYFDUSD/LQTYFDUSD-aggTrades-2024-06-27.zip
2024-06-28,daily,aggTrades,data/spot/daily/aggTrades/LQTYFDUSD/LQTYFDUSD-aggTrades-2024-06-28.zip
2024-06-29,daily,aggTrades,data/spot/daily/aggTrades/LQTYFDUSD/LQTYFDUSD-aggTrades-2024-06-29.zip
2024-06-30,daily,aggTrades,data/spot/daily/aggTrades/LQTYFDUSD/LQTYFDUSD-aggTrades-2024-06-30.zip
2024-07-01,daily,aggTrades,data/spot/daily/aggTrades/LQTYFDUSD/LQTYFDUSD-aggTrades-2024-07-01.zip
2024-07-01,monthly,aggTrades,data/spot/monthly/aggTrades/LQTYFDUSD/LQTYFDUSD-aggTrades-2024-07.zip
2024-07-02,daily,aggTrades,data/spot/daily/aggTrades/LQTYFDUSD/LQTYFDUSD-aggTrades-2024-07-02.zip
2024-07-03,daily,aggTrades,data/spot/daily/aggTrades/LQTYFDUSD/LQTYFDUSD-aggTrades-2024-07-03.zip
2024-07-04,daily,aggTrades,data/spot/daily/aggTrades/LQTYFDUSD/LQTYFDUSD-aggTrades-2024-07-04.zip
2024-07-05,daily,aggTrades,data/spot/daily/aggTrades/LQTYFDUSD/LQTYFDUSD-aggTrades-2024-07-05.zip
