date,interval,key
2020-03-10,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-03-10.zip
2020-03-11,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-03-11.zip
2020-03-12,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-03-12.zip
2020-03-13,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-03-13.zip
2020-03-14,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-03-14.zip
2020-03-15,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-03-15.zip
2020-03-16,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-03-16.zip
2020-03-17,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-03-17.zip
2020-03-18,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-03-18.zip
2020-03-19,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-03-19.zip
2020-03-20,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-03-20.zip
2020-03-21,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-03-21.zip
2020-03-22,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-03-22.zip
2020-03-23,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-03-23.zip
2020-03-24,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-03-24.zip
2020-03-25,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-03-25.zip
2020-03-26,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-03-26.zip
2020-03-27,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-03-27.zip
2020-03-28,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-03-28.zip
2020-03-29,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-03-29.zip
2020-03-30,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-03-30.zip
2020-03-31,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-03-31.zip
2020-04-01,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-04-01.zip
2020-04-01,monthly,data/spot/monthly/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-04.zip
2020-04-02,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-04-02.zip
2020-04-03,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-04-03.zip
2020-04-04,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-04-04.zip
2020-04-05,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-04-05.zip
2020-04-06,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-04-06.zip
2020-04-07,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-04-07.zip
2020-04-08,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-04-08.zip
2020-04-09,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-04-09.zip
2020-04-10,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-04-10.zip
2020-04-11,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-04-11.zip
2020-04-12,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-04-12.zip
2020-04-13,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-04-13.zip
2020-04-14,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-04-14.zip
2020-04-15,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-04-15.zip
2020-04-16,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-04-16.zip
2020-04-17,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-04-17.zip
2020-04-18,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-04-18.zip
2020-04-19,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-04-19.zip
2020-04-20,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-04-20.zip
2020-04-21,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-04-21.zip
2020-04-22,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-04-22.zip
2020-04-23,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-04-23.zip
2020-04-24,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-04-24.zip
2020-04-25,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-04-25.zip
2020-04-26,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-04-26.zip
2020-04-27,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-04-27.zip
2020-04-28,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-04-28.zip
2020-04-29,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-04-29.zip
2020-04-30,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-04-30.zip
2020-05-01,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-05-01.zip
2020-05-01,monthly,data/spot/monthly/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-05.zip
2020-05-02,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-05-02.zip
2020-05-03,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-05-03.zip
2020-05-04,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-05-04.zip
2020-05-05,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-05-05.zip
2020-05-06,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-05-06.zip
2020-05-07,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-05-07.zip
2020-05-08,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-05-08.zip
2020-05-09,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-05-09.zip
2020-05-10,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-05-10.zip
2020-05-11,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-05-11.zip
2020-05-12,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-05-12.zip
2020-05-13,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-05-13.zip
2020-05-14,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-05-14.zip
2020-05-15,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-05-15.zip
2020-05-16,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-05-16.zip
2020-05-17,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-05-17.zip
2020-05-18,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-05-18.zip
2020-05-19,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-05-19.zip
2020-05-20,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-05-20.zip
2020-05-21,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-05-21.zip
2020-05-22,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-05-22.zip
2020-05-23,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-05-23.zip
2020-05-24,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-05-24.zip
2020-05-25,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-05-25.zip
2020-05-26,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-05-26.zip
2020-05-27,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-05-27.zip
2020-05-28,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-05-28.zip
2020-05-29,daily,data/spot/daily/aggTrades/LTOBNB/LTOBNB-aggTrades-2020-05-29.zip
