date,interval,key
2024-08-01,monthly,data/spot/monthly/aggTrades/MATICJPY/MATICJPY-aggTrades-2024-08.zip
2024-08-22,daily,data/spot/daily/aggTrades/MATICJPY/MATICJPY-aggTrades-2024-08-22.zip
2024-08-23,daily,data/spot/daily/aggTrades/MATICJPY/MATICJPY-aggTrades-2024-08-23.zip
2024-08-24,daily,data/spot/daily/aggTrades/MATICJPY/MATICJPY-aggTrades-2024-08-24.zip
2024-08-25,daily,data/spot/daily/aggTrades/MATICJPY/MATICJPY-aggTrades-2024-08-25.zip
2024-08-26,daily,data/spot/daily/aggTrades/MATICJPY/MATICJPY-aggTrades-2024-08-26.zip
2024-08-27,daily,data/spot/daily/aggTrades/MATICJPY/MATICJPY-aggTrades-2024-08-27.zip
2024-08-28,daily,data/spot/daily/aggTrades/MATICJPY/MATICJPY-aggTrades-2024-08-28.zip
2024-08-29,daily,data/spot/daily/aggTrades/MATICJPY/MATICJPY-aggTrades-2024-08-29.zip
2024-08-30,daily,data/spot/daily/aggTrades/MATICJPY/MATICJPY-aggTrades-2024-08-30.zip
2024-08-31,daily,data/spot/daily/aggTrades/MATICJPY/MATICJPY-aggTrades-2024-08-31.zip
2024-09-01,daily,data/spot/daily/aggTrades/MATICJPY/MATICJPY-aggTrades-2024-09-01.zip
2024-09-01,monthly,data/spot/monthly/aggTrades/MATICJPY/MATICJPY-aggTrades-2024-09.zip
2024-09-02,daily,data/spot/daily/aggTrades/MATICJPY/MATICJPY-aggTrades-2024-09-02.zip
2024-09-03,daily,data/spot/daily/aggTrades/MATICJPY/MATICJPY-aggTrades-2024-09-03.zip
2024-09-04,daily,data/spot/daily/aggTrades/MATICJPY/MATICJPY-aggTrades-2024-09-04.zip
2024-09-05,daily,data/spot/daily/aggTrades/MATICJPY/MATICJPY-aggTrades-2024-09-05.zip
2024-09-06,daily,data/spot/daily/aggTrades/MATICJPY/MATICJPY-aggTrades-2024-09-06.zip
2024-09-07,daily,data/spot/daily/aggTrades/MATICJPY/MATICJPY-aggTrades-2024-09-07.zip
2024-09-08,daily,data/spot/daily/aggTrades/MATICJPY/MATICJPY-aggTrades-2024-09-08.zip
2024-09-09,daily,data/spot/daily/aggTrades/MATICJPY/MATICJPY-aggTrades-2024-09-09.zip
2024-09-10,daily,data/spot/daily/aggTrades/MATICJPY/MATICJPY-aggTrades-2024-09-10.zip
