date,interval,data_type,key
2026-06-08,daily,aggTrades,data/futures/um/daily/aggTrades/BXUSDT/BXUSDT-aggTrades-2026-06-08.zip
2026-06-08,daily,bookDepth,data/futures/um/daily/bookDepth/BXUSDT/BXUSDT-bookDepth-2026-06-08.zip
2026-06-08,daily,metrics,data/futures/um/daily/metrics/BXUSDT/BXUSDT-metrics-2026-06-08.zip
2026-06-09,daily,aggTrades,data/futures/um/daily/aggTrades/BXUSDT/BXUSDT-aggTrades-2026-06-09.zip
2026-06-09,daily,bookDepth,data/futures/um/daily/bookDepth/BXUSDT/BXUSDT-bookDepth-2026-06-09.zip
2026-06-09,daily,metrics,data/futures/um/daily/metrics/BXUSDT/BXUSDT-metrics-2026-06-09.zip
2026-06-10,daily,aggTrades,data/futures/um/daily/aggTrades/BXUSDT/BXUSDT-aggTrades-2026-06-10.zip
2026-06-10,daily,bookDepth,data/futures/um/daily/bookDepth/BXUSDT/BXUSDT-bookDepth-2026-06-10.zip
2026-06-10,daily,metrics,data/futures/um/daily/metrics/BXUSDT/BXUSDT-metrics-2026-06-10.zip
2026-06-11,daily,aggTrades,data/futures/um/daily/aggTrades/BXUSDT/BXUSDT-aggTrades-2026-06-11.zip
2026-06-11,daily,bookDepth,data/futures/um/daily/bookDepth/BXUSDT/BXUSDT-bookDepth-2026-06-11.zip
2026-06-11,daily,metrics,data/futures/um/daily/metrics/BXUSDT/BXUSDT-metrics-2026-06-11.zip
2026-06-12,daily,aggTrades,data/futures/um/daily/aggTrades/BXUSDT/BXUSDT-aggTrades-2026-06-12.zip
2026-06-12,daily,bookDepth,data/futures/um/daily/bookDepth/BXUSDT/BXUSDT-bookDepth-2026-06-12.zip
2026-06-12,daily,metrics,data/futures/um/daily/metrics/BXUSDT/BXUSDT-metrics-2026-06-12.zip
