date,interval,data_type,key
2026-04-16,daily,aggTrades,data/futures/um/daily/aggTrades/CHIPUSDT/CHIPUSDT-aggTrades-2026-04-16.zip
2026-04-16,daily,bookDepth,data/futures/um/daily/bookDepth/CHIPUSDT/CHIPUSDT-bookDepth-2026-04-16.zip
2026-04-16,daily,metrics,data/futures/um/daily/metrics/CHIPUSDT/CHIPUSDT-metrics-2026-04-16.zip
2026-04-17,daily,aggTrades,data/futures/um/daily/aggTrades/CHIPUSDT/CHIPUSDT-aggTrades-2026-04-17.zip
2026-04-17,daily,bookDepth,data/futures/um/daily/bookDepth/CHIPUSDT/CHIPUSDT-bookDepth-2026-04-17.zip
2026-04-17,daily,metrics,data/futures/um/daily/metrics/CHIPUSDT/CHIPUSDT-metrics-2026-04-17.zip
2026-04-18,daily,aggTrades,data/futures/um/daily/aggTrades/CHIPUSDT/CHIPUSDT-aggTrades-2026-04-18.zip
2026-04-18,daily,bookDepth,data/futures/um/daily/bookDepth/CHIPUSDT/CHIPUSDT-bookDepth-2026-04-18.zip
2026-04-18,daily,metrics,data/futures/um/daily/metrics/CHIPUSDT/CHIPUSDT-metrics-2026-04-18.zip
2026-04-19,daily,aggTrades,data/futures/um/daily/aggTrades/CHIPUSDT/CHIPUSDT-aggTrades-2026-04-19.zip
2026-04-19,daily,bookDepth,data/futures/um/daily/bookDepth/CHIPUSDT/CHIPUSDT-bookDepth-2026-04-19.zip
2026-04-19,daily,metrics,data/futures/um/daily/metrics/CHIPUSDT/CHIPUSDT-metrics-2026-04-19.zip
2026-04-20,daily,aggTrades,data/futures/um/daily/aggTrades/CHIPUSDT/CHIPUSDT-aggTrades-2026-04-20.zip
2026-04-20,daily,bookDepth,data/futures/um/daily/bookDepth/CHIPUSDT/CHIPUSDT-bookDepth-2026-04-20.zip
2026-04-20,daily,metrics,data/futures/um/daily/metrics/CHIPUSDT/CHIPUSDT-metrics-2026-04-20.zip
2026-04-21,daily,aggTrades,data/futures/um/daily/aggTrades/CHIPUSDT/CHIPUSDT-aggTrades-2026-04-21.zip
2026-04-21,daily,bookDepth,data/futures/um/daily/bookDepth/CHIPUSDT/CHIPUSDT-bookDepth-2026-04-21.zip
2026-04-21,daily,metrics,data/futures/um/daily/metrics/CHIPUSDT/CHIPUSDT-metrics-2026-04-21.zip
2026-04-22,daily,aggTrades,data/futures/um/daily/aggTrades/CHIPUSDT/CHIPUSDT-aggTrades-2026-04-22.zip
2026-04-22,daily,bookDepth,data/futures/um/daily/bookDepth/CHIPUSDT/CHIPUSDT-bookDepth-2026-04-22.zip
2026-04-22,daily,metrics,data/futures/um/daily/metrics/CHIPUSDT/CHIPUSDT-metrics-2026-04-22.zip
2026-04-23,daily,aggTrades,data/futures/um/daily/aggTrades/CHIPUSDT/CHIPUSDT-aggTrades-2026-04-23.zip
2026-04-23,daily,bookDepth,data/futures/um/daily/bookDepth/CHIPUSDT/CHIPUSDT-bookDepth-2026-04-23.zip
2026-04-23,daily,metrics,data/futures/um/daily/metrics/CHIPUSDT/CHIPUSDT-metrics-2026-04-23.zip
2026-04-24,daily,aggTrades,data/futures/um/daily/aggTrades/CHIPUSDT/CHIPUSDT-aggTrades-2026-04-24.zip
2026-04-24,daily,bookDepth,data/futures/um/daily/bookDepth/CHIPUSDT/CHIPUSDT-bookDepth-2026-04-24.zip
2026-04-24,daily,metrics,data/futures/um/daily/metrics/CHIPUSDT/CHIPUSDT-metrics-2026-04-24.zip
