date,interval,data_type,key
2026-01-01,monthly,aggTrades,data/futures/um/monthly/aggTrades/XPTUSDT/XPTUSDT-aggTrades-2026-01.zip
2026-01-01,monthly,trades,data/futures/um/monthly/trades/XPTUSDT/XPTUSDT-trades-2026-01.zip
2026-01-30,daily,aggTrades,data/futures/um/daily/aggTrades/XPTUSDT/XPTUSDT-aggTrades-2026-01-30.zip
2026-01-30,daily,bookDepth,data/futures/um/daily/bookDepth/XPTUSDT/XPTUSDT-bookDepth-2026-01-30.zip
2026-01-30,daily,metrics,data/futures/um/daily/metrics/XPTUSDT/XPTUSDT-metrics-2026-01-30.zip
2026-01-31,daily,aggTrades,data/futures/um/daily/aggTrades/XPTUSDT/XPTUSDT-aggTrades-2026-01-31.zip
2026-01-31,daily,bookDepth,data/futures/um/daily/bookDepth/XPTUSDT/XPTUSDT-bookDepth-2026-01-31.zip
2026-01-31,daily,metrics,data/futures/um/daily/metrics/XPTUSDT/XPTUSDT-metrics-2026-01-31.zip
2026-02-01,daily,aggTrades,data/futures/um/daily/aggTrades/XPTUSDT/XPTUSDT-aggTrades-2026-02-01.zip
2026-02-01,daily,bookDepth,data/futures/um/daily/bookDepth/XPTUSDT/XPTUSDT-bookDepth-2026-02-01.zip
2026-02-01,daily,metrics,data/futures/um/daily/metrics/XPTUSDT/XPTUSDT-metrics-2026-02-01.zip
